港澳台msc,#genre#
翡翠台-香港时,msc://CJHK5
翡翠台-加美东,msc://CJCA5E
TVB台,msc://CTVBL5TVB
粤语片台,msc://CCMovie
TVB功夫台,msc://CKF5
TVB新闻台,msc://CIN5
TVB财经台,msc://CFinance
TVB韩剧台,msc://CKDrama5
TVBRaio台,msc://CTVBR5
TVB星河台,msc://CXHMovie
TVB星河台,msc://CXHMovieSuwannaphumi,msc://CTHSuwannaphumi
TVB娱乐新闻,msc://CEN5
TVBs新闻台,msc://CTVBSNews
TVBs台,msc://CTVBSAsia
TVB直播台,msc://CTVBL5
TVB电台,msc://CTVBR5
TVB8,msc://CTVB8
卫视电影台,msc://CStarMovie
娱乐新闻台,msc://CEN5
神州新闻台,msc://CMLN
无綫卫星亚洲台,msc://CTVBSAsia
TVBS新闻台,msc://CTVBSNews
88赛马频道,msc://CH88
凤凰卫视资讯台,msc://CPhNews
凤凰卫视欧洲台,msc://CPhoenixUK
凤凰卫视美洲台,msc://CPhoenixUS4
凤凰卫视资讯台,msc://CPhoenixHK4
TVB台,msc://CTVBL5
TVB粤语片台,msc://CCMovie
TVB功夫台,msc://CKF5
TVB新闻台,msc://CIN5
TVB财经台,msc://CFinance
TVB韩剧台,msc://CKDrama5
TVBRaio台,msc://CTVBR5
TVB星河台,msc://CXHMovie
TVB娱乐新闻,msc://CEN5
TVBs新闻台,msc://CTVBSNews
TVBs台,msc://CTVBSAsia
TVB直播台,msc://CTVBL5
TVB电台,msc://CTVBR5
TVB8,msc://CTVB8
卫视电影台,msc://CStarMovie
娱乐新闻台,msc://CEN5
神州新闻台,msc://CMLN
无綫卫星亚洲台,msc://CTVBSAsia
TVBS新闻台,msc://CTVBSNews
88赛马频道,msc://CH88
凤凰卫视资讯台,msc://CPhNews
凤凰卫视欧洲台,msc://CPhoenixUK
凤凰卫视美洲台,msc://CPhoenixUS4
凤凰卫视资讯台,msc://CPhoenixHK4
TVB无线翡翠台,msc://CJMandarin5
TVB翡翠台港版,msc://CJHK5
TVB翡翠台澳版,msc://CJAU5
TVB翡翠台欧版,msc://CJUK5
TVB8,msc://CTVB8
TVB星河台,msc://CXHMovie
TVB新闻台,msc://CIN5
TVB粤语台,msc://CCMovie
TVB剧集台,msc://CPDrama
TVB功夫台,msc://CKF5
TVB通识台,msc://CJunior
TVB生活台,msc://CLife
TVB粤语台1,msc://CCMovie
TVB功夫台1,msc://CKF5
TVB新闻台1,msc://CIN5
TVB韩剧台1,msc://CKDrama5
TVB星河台1,msc://CXHMovie
TVB直播台1,msc://CTVBL5
TVB无线新闻台1,msc://CTVBR5
翡翠台澳洲版1,msc://CJAU5
翡翠台英欧版1,msc://CJUK5
翡翠台-香港时1,msc://CJHK5
翡翠台-加美西1,msc://CJCA5W
翡翠台加美东1,msc://CJCA5E
娱乐新闻台1,msc://CEN5
无线卫星亚洲台1,msc://CTVBSAsia
TVBS新闻台1,msc://CTVBSNews
赛马频道1,msc://CH88
卫视电影,msc://CStarMovie
TVB8,msc://CTVB8
TVB新闻台,msc://CIN5
TVB功夫台,msc://CKF5
TVB星河台,msc://CXHMovie
Suwannaphumi,msc://CTHSuwannaphumi
TVBL,msc://CTHTVBL
True4U,msc://CTHTrue4U
ThairathHD,msc://CTHThairathHD
WSM,msc://CTHWSM
WBTV,msc://CTHWBTV
Workpoint,msc://CTHWorkpoint
3HD,msc://CTH3HD
40_50,msc://CTH40_50
Chic,msc://CTHChic
CH2,msc://CTHCH2
CH8,msc://CTHCH8
DharmaTV,msc://CTHDharmaTV
DaraDaily,msc://CTHDaraDaily
DaraDaily,msc://CTHDaraDaily
A_film,msc://CTHA_film
AtTV,msc://CTHAtTV

国际频道msc,
澜湄国际频道,msc://CCMCM
央视国际,msc://CCCTV4M
央视娱乐,msc://CCCTVEM
中央戏曲,msc://CCCTVOM
央视纪录片,msc://CCGTNDM
广东国际,msc://CguangdongM
南方卫视,msc://CSouthernTVM
湖南国际,msc://ChunanM
江苏国际,msc://CjiangsuM
浙江国际,msc://CzhejiangM
安徽国际,msc://CanhuiM
北京国际,msc://CBTVSM
东方国际,msc://CDragonTVM
天津国际,msc://CtianjinM
深圳国际,msc://CshenzhenM
山东国际,msc://CtaishanM
四川国际,msc://CsichuanM
重庆国际,msc://CchongqingM
广西国际,msc://CguangxiM
海峡国际,msc://CStraitsTVM
